2016 san antonion tower run
2016-2-6

150
1,David ZUCKER,,M,00:12:35,00:05:02,6:17 min/m,00:07:33,75.66 stair/min
1,Kyle KUCHAREK,,M,00:12:51,00:04:47,5:59 min/m,00:08:03,74.09 stair/min
2,Jesus PEREZ JR.,,M,00:12:52,00:04:49,6:02 min/m,00:08:02,73.99 stair/min
1,Jerome EVANS,,M,00:12:57,00:05:07,6:24 min/m,00:07:50,73.51 stair/min
1,Thomas CURRAN,,M,00:13:03,00:05:36,7:00 min/m,00:07:26,72.95 stair/min
2,Chris GROFF,,M,00:13:11,00:05:14,6:33 min/m,00:07:56,72.21 stair/min
1,Robert ELLIOTT,,M,00:13:22,00:05:21,6:41 min/m,00:08:01,71.22 stair/min
2,Carlos MATOS,,M,00:13:24,00:05:20,6:40 min/m,00:08:04,71.04 stair/min
3,Tanner MONTGOMERY,,M,00:13:24,00:05:30,6:53 min/m,00:07:54,71.04 stair/min
2,Jason GARRAHAN,,M,00:13:30,00:05:56,7:26 min/m,00:07:33,70.52 stair/min
4,Scott SANN,,M,00:13:35,00:05:10,6:28 min/m,00:08:24,70.09 stair/min
1,Chuck WATERMAN,,M,00:13:37,00:05:37,7:02 min/m,00:07:59,69.91 stair/min
5,David NEAL,,M,00:13:52,00:05:02,6:18 min/m,00:08:49,68.65 stair/min
3,Ryan ROECKER,,M,00:14:00,00:05:51,7:19 min/m,00:08:08,68.00 stair/min
2,Tim CALLAHAN,,M,00:14:09,00:06:21,7:57 min/m,00:07:47,67.28 stair/min
6,Kevin FREEMYER,,M,00:14:10,00:05:39,7:04 min/m,00:08:30,67.20 stair/min
7,Michael DOHERTY,,M,00:14:13,00:06:00,7:30 min/m,00:08:13,66.96 stair/min
8,Jason HUDDLESTON,,M,00:14:30,00:05:42,7:08 min/m,00:08:47,65.66 stair/min
9,Richard ESQUIVEL,,M,00:14:43,00:05:33,6:56 min/m,00:09:10,64.69 stair/min
10,Cory FUJIMOTO,,M,00:14:51,00:06:07,7:39 min/m,00:08:43,64.11 stair/min
3,Thor KOODA,,M,00:14:56,00:05:40,7:05 min/m,00:09:15,63.75 stair/min
4,Barry PRYCE,,M,00:14:56,00:05:29,6:51 min/m,00:09:27,63.75 stair/min
3,Duane FRIESEN,,M,00:14:57,00:06:04,7:35 min/m,00:08:52,63.68 stair/min
4,Fred LANGHAM,,M,00:14:57,00:06:04,7:35 min/m,00:08:52,63.68 stair/min
11,Ben HERRING,,M,00:15:16,00:06:05,7:37 min/m,00:09:10,62.36 stair/min
5,John MCALLEN,,M,00:15:18,00:06:04,7:35 min/m,00:09:14,62.22 stair/min
5,Jaime QUINTANILLA,,M,00:15:26,00:06:27,8:04 min/m,00:08:59,61.68 stair/min
12,Jon LONGENECKER,,M,00:15:28,00:06:27,8:04 min/m,00:09:01,61.55 stair/min
6,Ted HATTORI,,M,00:15:37,00:06:31,8:09 min/m,00:09:05,60.96 stair/min
6,Andy GUAJARDO,,M,00:15:42,00:06:15,7:49 min/m,00:09:26,60.64 stair/min
1,Randal OTTO,,M,00:15:43,00:06:16,7:50 min/m,00:09:27,60.57 stair/min
7,Matthew GARZA,,M,00:15:47,00:05:40,7:05 min/m,00:10:07,60.32 stair/min
